Periode;OEE_A;OEE_B;OEE_C;Total_France;Total_DOM
1996-01-01;101200;50800;19800;171800;3900
1996-02-01;103100;50000;21100;174200;4300
1996-03-01;102800;49900;23000;175700;5500
1996-04-01;103000;52400;22900;178300;5100
1996-05-01;100900;55900;23900;180700;4800
1996-06-01;104600;60200;23700;188500;4900
1996-07-01;102000;60100;25800;187900;5200
1996-08-01;104000;64200;25700;193900;5600
1996-09-01;99800;65700;28100;193600;5100
1996-10-01;97100;64800;35100;197000;5200
1996-11-01;97100;63500;29100;189700;7600
1996-12-01;98200;73600;30300;202100;4900
1997-01-01;93200;67800;28500;189500;5700
1997-02-01;96000;64900;27100;188000;5100
1997-03-01;98900;72700;30300;201900;5100
1997-04-01;106200;71900;31000;209100;4600
1997-05-01;100200;71800;33100;205100;4900
1997-06-01;100400;72700;33500;206600;4900
1997-07-01;99700;77200;36100;213000;3800
1997-08-01;99100;76600;34600;210300;4900
1997-09-01;105500;79000;28200;212700;5300
1997-10-01;107500;81400;36000;224900;4900
1997-11-01;110400;82200;35500;228100;5200
1997-12-01;108900;83700;37600;230200;4900
1998-01-01;109000;79000;38200;226200;5300
1998-02-01;110100;81400;38200;229700;5600
1998-03-01;109400;79300;35900;224600;5200
1998-04-01;116100;84500;37000;237600;4300
1998-05-01;109600;85300;31700;226600;4700
1998-06-01;106800;85400;34200;226400;4500
1998-07-01;108200;86800;33700;228700;4400
1998-08-01;103100;88800;35700;227600;4800
1998-09-01;101900;87800;36000;225700;4800
1998-10-01;102300;84600;34300;221200;4900
1998-11-01;105000;90600;33400;229000;4600
1998-12-01;104100;87500;33700;225300;5500
1999-01-01;111100;91700;39200;242000;4700
1999-02-01;105900;90100;36800;232800;4700
1999-03-01;105600;90800;38300;234700;4300
1999-04-01;107000;92500;42300;241800;5300
1999-05-01;106800;94500;43200;244500;4900
1999-06-01;109000;97700;45200;251900;5100
1999-07-01;109900;98000;41200;249100;5100
1999-08-01;109200;99000;42600;250800;5000
1999-09-01;113800;99700;41500;255000;5100
1999-10-01;113800;99900;41100;254800;5300
1999-11-01;112900;102300;41400;256600;4900
1999-12-01;113200;103300;35100;251600;5000
2000-01-01;122200;106200;46300;274700;5600
2000-02-01;119500;105700;42200;267400;5300
2000-03-01;119800;105900;41100;266800;5100
2000-04-01;120900;104200;37900;263000;5100
2000-05-01;124200;109900;38700;272800;5800
2000-06-01;122900;101600;37400;261900;5600
2000-07-01;120100;100100;37300;257500;5600
2000-08-01;123700;100500;39100;263300;5300
2000-09-01;123000;99100;39500;261600;5700
2000-10-01;126200;102300;37000;265500;5500
2000-11-01;119100;96900;39500;255500;5800
2000-12-01;120500;99800;36200;256500;6500
2001-01-01;121300;97200;41100;259600;5600
2001-02-01;117700;96200;40400;254300;6000
2001-03-01;115100;94600;39300;249000;5600
2001-04-01;113400;93600;35800;242800;5000
2001-05-01;113200;94500;40900;248600;5600
2001-06-01;111200;94800;40000;246000;5100
2001-07-01;111800;95100;38800;245700;5300
2001-08-01;116600;96700;39200;252500;5800
2001-09-01;111400;99100;37000;247500;5100
2001-10-01;111900;106200;39600;257700;5700
2001-11-01;110800;108600;38600;258000;5800
2001-12-01;110700;103500;38800;253000;5700
2002-01-01;104700;98500;35000;238200;4500
2002-02-01;105700;102300;33300;241300;5200
2002-03-01;110100;101500;43000;254600;7300
2002-04-01;107600;103800;39900;251300;6800
2002-05-01;108900;102200;35200;246300;6100
2002-06-01;108000;99900;35100;243000;6200
2002-07-01;110200;99400;40800;250400;6100
2002-08-01;110500;99400;35400;245300;5900
